Subject,Question,Answer
Formatura,"Formando (status) Eu fiz os cálculos e eu deveria estar com o status FORMANDO, mas não estou. O que eu devo fazer? ","Provavelmente, além da carga horária em que o(a) estudante já está matriculado(a),ainda existem outras pendências curriculares a cumprir, a exemplo de horas em Atividades Complementares obrigatórias do curso e/ou cumprimento de Cadeias de Seletividade. Caso haja dúvidas, o(a) discente poderá entrar em contato com a Coordenação do seu curso e/ou com a SAA, a fim de que as questões particulares sejam esclarecidas.O fato do(a) aluno(a) não ter o status atualizado para FORMANDOnão o(a) impedirá de se formar naquele determinado semestre. A situação FORMANDO, pois, é apenas uma forma de oSIGAA exibir, de maneira mais clara e objetiva, que há a probabilidade de que naquele semestre o curso seja concluído."
Formatura,Registro de Formada(o) em Curso Secundário Como ocorre o procedimento nomeado como Registro de Formada(o) em Curso Secundário?  ,"A menção ao Registro de Formada(o) em Curso Secundário na forma de ingresso indica se tratar de aproveitamento de componentes curriculares de curso diferente daquele para o qual ocorreu o ingresso primário. A flexibilidade nos currículos dos cursos da Universidade de Brasília permite que, eventualmente, a(o) estudante cumpra todos os requisitos para formação em curso correlato ao seu próprio, possibilitando a obtenção de mais de um diploma.  Portanto, a solicitação de Registro de Formada(o) em Curso Secundário ocorre quando a(o) aluna(o) conclui um segundo curso, para o qual não está registrado, porém está ativo ou já concluiu curso distinto na Universidade de Brasília. Ou seja, para que a(o) discente possa fazer a solicitação, ela(e) deverá ter realizado todo o currículo do curso em que deseja se formar. Essa situação acontece, principalmente, em cursos que possuem mais de uma habilitação.  Exemplo: O curso de Psicologia possui três habilitações, são elas: Psicólogo, Licenciatura e Bacharel. A(O) discente que ingressou no curso Psicologia Psicólogo, por exemplo, ao longo do seu curso, poderá cursar, também, as disciplinas necessárias para concluir o curso Psicologia Bacharel. Logo, no momento que todas as pendências para conclusão do curso forem atendidas, a(o) interessada(o) poderá dar entrada na solicitação de “Registro de Formada(o) em Curso Secundário” no curso de Psicologia Bacharel. Isso poderá acontecer no momento que ela(e) também se forma no curso de ingresso primário ou antes mesmo da sua formatura no curso que está ativo, no exemplo dado, no curso de Psicologia Psicólogo. "
Formatura,Registro de Formada(o) em Curso Secundário Quando devo solicitar o Registro de Formada(o) em Curso Secundário?  ,"Quando a(o) aluna(o) conclui todo o currículo exigido para a formatura em um determinado curso, dentro do período que esteve ativo na UnB e levando em consideração os componentes registrados em seu histórico escolar emitido pela Universidade, mas está registrado em curso distinto.  "
Formatura,Registro de Formada(o) em Curso Secundário Onde devo solicitar o Registro de Formada(o) em Curso Secundário?  ,"A solicitação deverá ser realizada na SAA, com a entrega ou encaminhamento do formulário de “Registro de Formada(o) em Curso Secundário” preenchido, disponível no site: saa.unb.br. O envio poderá ser realizado para oe-mail:saaatendimento@unb.br. Recebido o formulário, a SAA abrirá um processo SEI, que será encaminhado à Coordenação de Graduação da SAA (SAA/CGR) para análise. A SAA/CGR simulará o histórico do segundo curso, para o qual o(a) aluno(a) pleiteou a formatura, a fim de verificar se é possível registrar a formatura no sistema. Caso o(a) discente tenha concluído todos os créditos do segundo curso, o Registro de Formada(o) em Curso Secundário será efetuado e, consequentemente, o(a) aluno(a)será formado(a). "
Formatura,Registro de Formada(o) em Curso Secundário Quais são os dados necessários para o preenchimento do formulário de Registro de Formada(o) em Curso Secundário?  ,"Os dados necessários são: identificação da(o) discente, nome do curso e o currículo para registro. A escolha do currículo, para o Registro de Formada(o) em Curso Secundário, deverá ser para quele no qual esteve ativo enquanto a(o) estudante também estava ativo na Universidade.  Portanto, o currículo não poderá ser anterior ao ingresso primário da(o) aluna(o). "
Formatura,Registro de Formada(o) em Curso Secundário Como ficarão os valores do Índice de Rendimento Acadêmico (IRA) e da Média Ponderada (MP) no histórico escolar com a forma de ingresso por Registro de Formada(o) em Curso Secundário?  ,"Não há cálculo de Índice de Rendimento Acadêmico (IRA) e/ou Média Ponderada (MP) do curso; logo, esses valores constarão zerados no respectivo histórico escolar."
Formatura,Registro de Formada(o) em Curso Secundário Qual a diferença entre Registro de Formada(o) em Curso Secundário e Dupla Diplomação?  ,"O Registro de Formada(o) em Curso Secundário é uma solicitação quando a(o) aluna(o) já concluiu o curso para o qual deseja obter o diploma, enquanto esteve registrado em curso distinto. Diferentemente, a Dupla Diplomação ocorre quando a(o) discente se forma no curso de ingresso primário, mas deseja permanecer ativo na Universidade para concluir outro curso, de acordo com as normas do edital. Portanto, no processo de Dupla Diplomação, existe um edital que deve ser seguido, porém, para realizar o Registro de Formada(o) em Curso Secundário, não existe edital, apenas o preenchimento e entrega do formulário que será analisado pela SAA."
Histórico Escolar,Dados Cadastrais Estou com dados cadastrais errados no meu histórico. Como procedo? ,"A(o) aluna(o) deverá entrar em contato com o setor de atendimento, encaminhando cópia digitalizada de seus documentos de identidade para o e-mail saaatendimento@unb.br."
Histórico Escolar,Índice de Rendimento Acadêmico (IRA)e Média Ponderada (MP) O que é o IRA? ,"O IRA representa, numericamente, o rendimento acadêmico geral do estudante. Trata-se de uma média acadêmica baseada nas menções convencionais (SR, II, MI, MM, MS e SS) obtidas pelo discente. O IRA não representa uma média final dos alunos no curso, ou seja, não existe um valor mínimo do índice para que os discentes sejam formados na UnB."
Histórico Escolar,Índice de Rendimento Acadêmico (IRA)e Média Ponderada (MP) Por que meu IRA e/ou  minha MP estão zerados?  ,"Os índices acadêmicos somente são calculados depois que a(o) discente cursar disciplinas no curso em que se encontra ativa(o). Somente serão consideradas, para efeito de cálculo, as disciplinas que tenham sido cursadas em períodos que sejam iguais ou superiores ao de ingresso no curso.Desse modo, alunas(os) que se encontrem no primeiro semestre de um determinado curso aparecerão com os índices zerados, indicando que o cálculo será realizado somente após o registro de menções no histórico escolar do novo curso."
Histórico Escolar,Índice de Rendimento Acadêmico (IRA)e Média Ponderada (MP) Como são calculados o IRA e a MP? ,"O cálculo do IRA dá-se conforme o disciplinado pela Resolução nº 1/2020, da CEG/UnB, disponível no seguinte link: http://deg.unb.br/images/legislacao/resolucao_ceg_0001_2020.pdf"
Histórico Escolar,Índice de Rendimento Acadêmico (IRA)e Média Ponderada (MP) O trancamento de disciplinas afeta o IRA e a MP? ,"Não, conforme a retificação da Resolução nº 93/2018, do CEPE/UnB, disponível em: Microsoft Word - Resolucao_2723643.doc (unb.br)."
Histórico Escolar,Índice de Rendimento Acadêmico (IRA)e Média Ponderada (MP) É possível converter o valor do IRA para alguma escala diferente?  ,"O IRA é uma representação numérica do rendimento acadêmico geral do estudante, composta por todas as menções convencionais (SR, II, MI, MM, MS e SS) obtidas em disciplinas, exceto as cursadas em períodos especiais de verão. Ele é definido segundo uma escala de 0 (zero) a 5 (cinco). A UnB não emite documentações que expressem uma escala de valores distinta da estabelecida."
Histórico Escolar,Período de Curso Como calculo o período em que estou no meu curso?  ,"O SIGAA calcula o período de curso automaticamente por meio da contagem do número de semestres cursados pelo estudante, desde seu ingresso naquele curso. Os períodos em que tenham sido registrados Trancamento Geral de Matrícula, independente se justificado ou se automático, não são considerados como cursados, de modo que não são inseridos nessa contagem."
Ingresso na UnB,Aluno(a) Especial Não participei ou fui aprovado em processos seletivos de ingresso na UnB. É possível fazer disciplinas mesmo assim? ,"Existe a modalidade de matrícula enquanto aluno especial, por meio da qual ao aluno é permitido cursar disciplina de graduação ou de pós-graduação, com aproveitamento por menção. Nesse caso, a admissão é condicionada à aprovação do departamento responsável por ministrar tal disciplina. É importante que o pedido seja feito dentro do prazo do calendário acadêmico. Pedidos fora de prazo, portanto, não serão aceitos. Há uma taxa para a solicitação e, caso seja concedida a matrícula ao aluno, deverá ser paga outra taxa referente à quantidade de créditos que serão cursados. Link para a solicitação de aluno especial: saa.unb.br Link para informações relacionadas às taxas: saa.unb.br "
Ingresso na UnB,Aluno(a) Especial Quantas disciplinas eu poderei fazer como aluno(a) especial?  ,"O limite atual é de, no máximo, 4 (quatro) disciplinas no semestre ou 8 (oito) disciplinas ao longo do ano letivo. Vencido o prazo ou o quantitativo de créditos cursados, o aluno ficará impedido de fazer novas matrículas enquanto aluno especial no mesmo nível (graduação ou pós-graduação)."
Ingresso na UnB,Aluno(a) Especial Poderei aproveitar as disciplinas cursadas como aluno(a) especial caso ingresse como aluno(a) regular da UnB?  ,"Sim, basta realizar o pedido via peticionamento eletrônico. Este será feito de ofício, uma vez que as disciplinas já foram avaliadas pela própria UnB."
Ingresso na UnB,Aluno(a) Especial O(a) aluno(a) especial possui acesso ao e-mail institucional da UnB? ,"Não, pois o(a) aluno(a) especial não possui vínculo estrito ou convencional com a universidade, ao cursar disciplinas isoladas."
Ingresso na UnB,Aluno(a) Refugiado(a) Sou refugiado(a). Como faço para ingressar na UnB? ,"Poderá solicitar a admissão como estudante regular nos cursos de graduação a pessoa declarada refugiada pelo Comitê Nacional para Refugiados (Conare), conforme estabelece o art. 1º da Lei nº 9.474/1997. Não será aceita candidatura para admissão na condição de refugiado o indivíduo que seja enquadrado em pelo menos umas das seguintes condições:I. não se beneficie da condição de refugiado por atender ao art. 3º da Lei nº 9.474/1997;II. concluiu o ensino médio no Brasil;A deliberação sobre a aceitação da admissão na condição de refugiado compete à Câmara de Ensino de Graduação – CEG, com base em parecer circunstanciado do Colegiado do Curso de Graduação correspondente.Para atendimento aos requerimentos de admissão no curso de graduação pleiteado serão utilizadas as vagas ociosas decorrentes de desligamento, transferência de estudantes para outras IES ou remanescentes do vestibular, ou seja, precisa haver vaga no curso pretendido.O refugiado só poderá obter vaga na UnB, nesta condição, por uma única vez e terá os mesmos direitos e deveres dos demais alunos da UnB, observando-se as normas estatutárias e regimentais e a presente resolução.A apresentação de documentação comprobatória da escolaridade correspondente ao ensino médio do sistema educacional brasileiro é parte essencial para análise da solicitação de admissão de refugiado. Na ausência de documentação da escolaridade, caberá ao CONARE atestar sobre a escolaridade requerida ou caberá ao candidato submeter-se aos meios de admissão previstos pela UnB.Para solicitar, o discente deverá encaminhar os seguintes documentos para saaatendimento@unb.br:a) formulário de ""solicitação geral"", disponível na página https://www.saa.unb.br/graduacao/formularios;b) documento de identificação;c) declaração ou certidão de pessoa refugiada emitida pelo Comitê Nacional para Refugiados (Conare);d) comprovação de conclusão do ensino médio no país de origem. Recomendamos, ainda, a leitura da Resolução CEPE nº 64/2007, disponível em http://www.deg.unb.br/images/legislacao/64_2007.pdf, que dispõe sobre a admissão de refugiados para cursos de graduação da UnB. "
Ingresso na UnB,Certificado de Habilidades Específicas Para que serve o certificado de habilidade específica? ,"Alguns cursos exigem, além da aprovação em certame de ingresso convencional (vestibular, ENEM e PAS), aprovação também em prova de habilidade específica."
Ingresso na UnB,Certificado de Habilidades Específicas Quais os cursos que exigem avaliação de habilidade específica? ,O cursos que exigem o certificado de habilidades específicas são: Artes Visuais (bacharelado e licenciatura) e Música (bacharelado e licenciatura).
Ingresso na UnB,"Reintegração Eu fui desligada(o) da UnB, mas gostaria de retornar. Como e quando posso solicitar a minha reintegração? ","Uma vez comunicado, formalmente ou não, do desligamento, cabe à(ao) estudante, se tiver interesse, solicitar sua reintegração.Não há edital, o que faz com que a solicitação possa ser feita a qualquer momento. Contudo, é preciso estar atenta(o) aos prazos.Além disso, a solicitação não será aceita passados dois anos ou mais do desligamento.A solicitação é feita por peticionamento eletrônico, cujos trâmite e peticionamento ocorrem conforme o seguinte link: Orientações sobre Reintegração."
Ingresso na UnB,Transferência Facultativa O que é a transferência facultativa? ,"É a transferência de aluna(o) de outro estabelecimento de ensino superior – nacional ou estrangeiro, a critério da UnB, dependendo da existência de vaga no curso pleiteado e de classificação do candidato em processo seletivo."
Ingresso na UnB,Transferência Facultativa Como ocorre a transferência facultativa? ,"A transferência facultativa ocorre, exclusivamente, por meio de edital regular, disponível em: Estude na UnB - Graduação - Apresentação."
Ingresso na UnB,Transferência Facultativa Como posso acompanhar?  ,"Por meio das redes sociais (Facebook e Instagram), imprensa, jornais ou diretamente através do site Estude na UnB - Graduação - Apresentação. "
Ingresso na UnB,Transferência Facultativa Quem é responsável pela promoção do edital?  ,"O responsável pelo edital é o Decanato de Ensino de Graduação da UnB (DEG/UnB), em parceria com o IADES."
Ingresso na UnB,Transferência Obrigatória O que é a transferência obrigatória?  ,"É a transferência de alunas(os) que sejam servidoras(es) públicos federais, civis e militares, removidos ex-offício para o Distrito Federal, ou de seus dependentes. É necessário que tenham vínculo discente com outras Instituições de Ensino Superior congênere à UnB. Os pedidos poderão ocorrer a qualquer tempo e independentemente de vaga.Será necessário que conste a movimentação do servidor por necessidade do serviço público e que tenha sido publicada via Diário Oficial ou via boletim de movimentação. Também é importante que a(o) aluna(o) esteja com a matrícula regular na instituição de origem no momento da transferência. O pedido é pago, a taxa é depositada na conta única do Tesouro Nacional, com o valor tabelado, conforme a tabela disponibilizada no site da saa.unb.br."
Ingresso na UnB,Transferência Obrigatória Como fazer a solicitação?  ,"A documentação poderá ser enviada ao e-mail saaatendimento@unb.br. Para consultar qual documentação deve ser anexada à solicitação de transferência, acesse a página https://saa.unb.br/transferencia-obrigatoria. "
Ingresso na UnB,Transferência Obrigatória A transferência poderá ocorrer de instituições de ensino fora do Brasil?  ,"Sim, mas além dos documentos em idioma nativo referentes à universidade de origem, é necessário que esteja anexada a tradução juramentada dos documentos originais. Importante observar que, se a(o) aluna(o) cursou ensino médio fora do Brasil, deverá apresentar um certificado de equivalência de ensino médio, que pode ser solicitado na Secretaria de Educação do Estado."
Ingresso na UnB,Transferência Obrigatória As disciplinas cursadas no exterior podem ser aproveitadas? ,"O pedido de aproveitamento de disciplina por transferência obrigatória também pode ser feito, uma vez que o aluno tenha sido admitido na UnB. A solicitação seguirá o prazo estabelecido em resolução interna e deverá estar acompanhada do histórico escolar e do conteúdo programático completo (ementas). A competência para avaliar se essas disciplinas cursadas fora são ou não equivalentes às disciplinas da UnB é da unidade acadêmica responsável por elas na UnB."
Ingresso na UnB,Transferência Obrigatória Qual o prazo à solicitação? ,"O pedido de transferência obrigatória deverá ser feito em um prazo máximo de 365 (trezentos e sessenta e cinco) dias corridos contados a partir da data em que o servidor discente assumiu, no Distrito Federal, o cargo. A transferência obrigatória é regida pela Resolução CEPE UnB nº 0122/2022. Servidor público federal civil ou militar, ou seu dependente legal econômico, que for estudante em outra IES congênere na data da remoção para Brasília."
Ingresso na UnB,Vínculos simultâneos É possível estudar na UnB e em uma Faculdade Particular ao mesmo tempo? ,"Sim, desde que, na instituição privada, você não seja beneficiário de programas do governo, a exemplo do FIES e PROUNI."
Ingresso na UnB,Vínculos simultâneos É possível estudar na UnB e em outra Faculdade Pública ao mesmo tempo? ,"Não, pois de acordo com a lei 12.089/2009 é proibido uma mesma pessoa ocupar, na condição de estudante, simultaneamente, no curso de graduação, 2 (duas) vagas, no mesmo curso ou em cursos diferentes em uma ou mais de uma instituição pública de ensino superior em todo o território nacional."
Ingresso na UnB,Vínculos simultâneos Eu posso participar de vários processos seletivos para ingresso na UnB ao mesmo tempo? ,"Sim, mas só é possível se matricular em um único curso de graduação por vez. Desse modo, caso seja aprovado em diferentes processos seletivos para cursos diferentes, você deverá optar pelo curso com o qual desejará manter o vínculo."
Ingresso na UnB,Vínculos simultâneos Eu posso fazer graduação e mestrado ao mesmo tempo? ,"Sim, por estarem em níveis diferentes. Graduação e Pós-Graduação são considerados níveis diferentes de ensino."
Processo de Matrícula,Revisão de Menção Como posso fazer a solicitação? ,"O aluno pleiteante deve preencher o formulário de ""revisão de menção final em disciplina"", disponível na página https://saa.unb.br/graduacao/formularios, e dar entrada no processo na Secretaria/Coordenação de Graduação responsável pela disciplina a ser revisada. "
Processo de Matrícula,Revisão de Menção Qual o prazo para que eu possa fazer a solicitação? ,"As datas para solicitação constam no calendário acadêmico da UnB, disponível no site da SAA."
Processo de Matrícula,Revisão de Menção Como/quando saberei sobre o resultado do pedido? ,A Unidade Acadêmica responsável pela disciplina deverá comunicar o aluno acerca do resultado de seu pedido de revisão de menção.
Trancamentos,Trancamento Geral de Matrícula Automático (TGM) Como proceder no Trancamento Geral de Matrícula Automático?  ,"O aluno pode solicitar o trancamento geral de matrícula (TGM), o qual implica a suspensão de todas as atividades acadêmicas do estudante, sem perda de seu vínculo regular com a Universidade. Deverá ser requerido antes de completado 75% (setenta e cinco por cento) do semestre em que é pleiteado e será concedido automaticamente, sem impacto no IRA, por até dois semestres, consecutivos ou não.Na hipótese de o Trancamento Geral de Matrícula (TGM) ser pleiteado em semestres consecutivos, sua concessão deverá ser renovada a cada semestre. Ressaltando que o TGM somente será concedido para os estudantes que tenham cursado com aprovação na Universidade de Brasília no mínimo um componente do seu curso, considerando o último ingresso no curso atual."
Trancamentos,Trancamento Geral de Matrícula Automático (TGM) Como e quando solicitar o Trancamento Geral de Matrícula Automático? ,"O Trancamento Geral de Matrícula Automático deverá ser realizado pelo próprio estudante através do SIGAA, por meio do caminho: SIGAA > Portal do Discente > Aba Ensino > Suspensão de Programa > Suspensão Regular."
Trancamentos,Trancamento Geral de Matrícula Justificado (TGMJ) Como proceder no Trancamento Geral de Matrícula Justificado?  ,"O aluno, a qualquer momento, pode solicitar o trancamento geral justificado, desde que solicitado dentro de dois anos a partir do prazo limite para seu requerimento original ou a partir da cessação do motivo concreto que impossibilitou o estudante de efetivar o pleito na época correta. É necessário estar munido de comprovantes, por exemplo, no caso de motivo de saúde, o laudo/atestado médico.O Trancamento Geral de Matrícula Justificado (TGMJ) será concedido excepcionalmente, sem prejuízo do Trancamento Geral de Matrícula Automático, sempre mediante de justificativa circunstanciada, com apresentação dos comprovantes. O TGMJ não possui nenhuma limitação de quantidade, diferentemente do TGM automático que se limita a dois semestres.O TGMJ não terá impacto no IRA do estudante pleiteante, e, se for o caso, deverá ser renovado a cada semestre em que o estudante pretender sua concessão.Modalidades de TGMJ, exemplos:"
Trancamentos,Trancamento Geral de Matrícula Justificado (TGMJ) Como solicitar o TGMJ? ,O Trancamento Geral Justificado de Matrícula pode ser realizado pelo Peticionamento eletrônico (saa.unb.br - peticionamento) devidamente justificado.
Trancamentos,Trancamento Parcial de Matrícula (TR) Como funciona o Trancamento de Disciplina Automático? ,"O Trancamento de Disciplina Automático (TR) implica a suspensão das atividades curriculares do estudante em determinada(s) disciplina(s), sem prejuízo nas demais disciplinas em que permanecer matriculado. O TR deverá ser requerido antes de completado 50% do semestre em que é pleiteado.Não será permitido o trancamento de disciplina automático (TR) simultâneo em todas as disciplinas em que o estudante esteja matriculado em determinado semestre, sendo necessária a permanência da matrícula em ao menos uma disciplina.O TR automático de disciplina não terá impacto no IRA."
Trancamentos,Trancamento Parcial de Matrícula (TR) Como fazer o Trancamento de Disciplina Automático? ,"O Trancamento de Disciplina Automático deverá ser realizado pelo próprio estudante através do Portal do Discente/SIGAA, por meio do caminho: SIGAA > Aba Ensino > Trancamento de Matrícula > Trancar."
Trancamentos,Trancamento Parcial de Matrícula Justificado (TJ) Como funciona o Trancamento de Disciplina Justificado? ,"O Trancamento de Disciplina Justificado será concedido excepcionalmente mediante justificativa circunstanciada apresentada pelo estudante. O TJ de disciplina implica a suspensão das atividades acadêmicas do estudante em determinada(s) disciplina(s), sem perda do seu vínculo regular com a Universidade. O TJ de disciplina não terá impacto no IRA."
Trancamentos,Trancamento Parcial de Matrícula Justificado (TJ) Como posso fazer a solicitação do Trancamento de Disciplina Justificado?  ,O Trancamento Parcial Justificado de disciplina pode ser realizado pelo Peticionamento eletrônico (saa.unb.br - peticionamento). Os normativos acerca das modalidades de trancamento na UnB podem ser visualizados no site http://www.deg.unb.br/legislacao.
Trancamentos,Trancamento Parcial de Matrícula Justificado (TJ) Como/quando saberei o resultado do pedido? ,Você poderá acompanhar o processo pelo SEI acesso externo.
Stricto Sensu,Onde encontro os editais de processo seletivo para aluno regular de mestrado ou doutorado? ,"Os editais de processos seletivos para ingresso como aluno regular de pós-graduação stricto sensu são disponibilizados pelos próprios Programas de Pós-Graduação (PPGs), nas respectivas unidades acadêmicas e seus sites."
Stricto Sensu,Qual a documentação exigida ao registro de aluno regular de pós-graduação stricto sensu? ,Documentação exigida:
Stricto Sensu,Como posso atualizar meus dados? ,"Os dados, a exemplo de endereço e de telefone, podem ser atualizados pelo próprio aluno da pós-graduação, no Matrícula Web. Os demais dados pessoais poderão ser atualizados com um pedido na secretaria do respectivo PPG ou na SAA. Caso a atualização ocorra por alteração de nome civil, é necessário entregar cópia do documento que comprove a alteração."
Stricto Sensu,Como faço o primeiro acesso ao Matrícula Web? ,"Após obter o número de matrícula, o discente poderá solicitar sua senha de acesso, no seguinte site: https://aluno.unb.br/solicitar-senha. O acesso ao Matrícula Web é exclusivo a alunos regulares."
Stricto Sensu,O que é aluno especial de pós-graduação stricto sensu? ,É uma modalidade de matrícula em disciplinas de pós-graduação stricto sensu para portadores de diploma de nível superior que não estejam regularmente matriculados em curso de pós­-graduação stricto sensu na UnB.
Stricto Sensu,Como faço a solicitação para ser aluno especial de pós-graduação? ,"A inscrição para matrícula enquanto aluno especial deve ser feita no Programa de Pós-Graduação (PPG) que oferte a disciplina de interesse, conforme calendário acadêmico. O PPG informará a plataforma ou o local de entrega da inscrição, o número de vagas e as informações de pagamento da taxa de inscrição. Caso o interessado seja admitido, ele deve efetuar o pagamento da taxa de matrícula por crédito e a entrega da documentação restante para registro."
Stricto Sensu,Qual o valor das taxas de inscrição e crédito para aluno especial da pós-graduação? ,"Conforme a Resolução do Conselho de Administração nº 0039/2022, o valor da taxa para solicitação de aluno especial é de R$ 79,00 (setenta e nove reais) e o valor da taxa de matrícula por crédito é de R$ 113,00 (cento e treze reais). Exemplo: se a disciplina tiver quatro créditos, a taxa de créditos será de R$ 452,00 (quatrocentos e cinquenta e dois reais)."
Stricto Sensu,Qual a documentação exigida ao registro de aluno especial? ,Documentação exigida:
Stricto Sensu,Aluno especial tem acesso ao Matrícula Web? ,Não. Aluno especial não possui acesso ao Matrícula Web.
Stricto Sensu,Como faço o pedido de aproveitamento de estudos? ,"O pedido de aproveitamento de estudos deve ser solicitado junto ao PPG, em formulário específico de aproveitamento de estudos. O pedido deve ser acompanhado do comprovante de que o aluno cursou as disciplinas e suas respectivas ementas."
Stricto Sensu,Quando será possível a declaração de conclusão de curso? ,"A emissão da declaração de conclusão de curso, enquanto o diploma não estiver disponível, apenas é possível após o registro da ata de defesa homologada pelo Decanato de Pós-Graduação (DPG), no sistema acadêmico."
Stricto Sensu,Como faço pedido de trancamento geral de matrícula na pós-graduação? ,"O pedido de Trancamento Geral de Matrícula deve ser solicitado junto ao PPG em formulário específico de Trancamento Geral de Matrícula.  O Trancamento Geral de Matrícula dos cursos de pós-­graduação só poderá ocorrer por motivo justificado, sendo necessário que fique comprovado o impedimento involuntário do discente para exercer suas atividades acadêmicas."
Stricto Sensu,Como faço para solicitar a prorrogação de prazo máximo de permanência? ,"O pedido de prorrogação de prazo deve ser solicitado junto ao PPG. A solicitação deve seguir as orientações do DPG, disponíveis em seu site: http://www.dpg.unb.br/index.php/atividades-do-decanato/2-publicacoes/105-prorrogacao-de-prazo-para-defesa-de-dissertacao-tese."
Stricto Sensu,Quais são os critérios de desligamento na pós-graduação stricto sensu? ,"Conforme previsto no Art. 31 da Resolução CEPE/UnB nº 0080/2021, o discente será desligado do curso na ocorrência de uma das seguintes situações:"
Stricto Sensu,Posso solicitar reintegração após desligamento em curso de pós-graduação stricto sensu? ,"Na eventualidade de um discente, após desligamento, desejar reingressar no curso, sua reintegração será avaliada no âmbito de comissão de reintegração com fluxo contínuo no âmbito da Câmara de Pesquisa e Pós-Graduação (CPP)."
Stricto Sensu,Os cursos de pós-graduação stricto sensu da UnB têm Índice de Rendimento Acadêmico (IRA) para alunos ou Média Ponderada (MP)? ,"No âmbito da pós-graduação stricto sensu da UnB, não há regulamentação para o Índice de Rendimento Acadêmico (IRA) para alunos ou média ponderada no curso. Assim, não é possível haver determinações sobre equiparação da posição de um estudante com relação aos demais, ou mesmo sobre sua classificação final no curso."
Lato Sensu,Como encontro os editais de processo seletivo para ingresso nos cursos de especialização? ,Os editais de processos seletivos para ingresso como aluno regular de pós-graduação lato sensu estão disponíveis no Portal Público do SIGAA (Link: https://sig.unb.br/sigaa/public/processo_seletivo/lista.jsf?nivel=L&aba=p-lato).
Lato Sensu,Onde posso me inscrever nos processos seletivos para ingresso nos cursos de especialização? ,"A inscrição pode ser efetuada no Portal Público do SIGAA (Link: https://sig.unb.br/sigaa/public/processo_seletivo/lista.jsf?nivel=L&aba=p-lato).
"
Lato Sensu,Qual a documentação exigida para registro de aluno de pós-graduação lato sensu? ,"Documentação exigida:

RG;
CPF;
Comprovantes de votação da última eleição ou certidão de quitação eleitoral;Comprovante de Reservista ou Dispensa de Incorporação (para sexo masculino, até 31 de dezembro do ano em que completar 45 anos);
Diploma de Nível Superior e o respectivo Histórico Escolar do Ensino Superior; eCurrículo.O PPG poderá solicitar outros documentos.

"
Lato Sensu,Como posso ter acesso ao Portal do Discente? ,"Após seu registro no SIGAA pela Unidade Acadêmica responsável pelo curso, você deverá fazer seu autocadastro no SIGAA no seguinte link: https://sig.unb.br/sigaa/public/cadastro/discente.jsf.O autocadastro, feito pelo discente para cadastrar sua senha de login, só será possível se os dados digitados forem iguais aos dados informados durante o seu registro pela unidade acadêmica.O nome do usuário será seu número de matrícula, que será informada pela coordenação do seu curso.
"
Lato Sensu,Como posso atualizar meus dados? ,"Seus dados podem ser atualizados na coordenação responsável pelo seu curso.Caso a atualização ocorra por alteração de nome civil, é necessário entregar cópia do documento que comprove a alteração.
"
Lato Sensu,Como posso emitir meu histórico escolar? ,"Seu histórico escolar poderá ser emitido no Portal do Discente, no caminho: Portal do Discente → Ensino → Emitir Histórico.Outros documentos poderão ser emitidos no Portal Discente, como: Atestado de Matrícula e Declaração de Vinculo.
"
Lato Sensu,Como solicito as ementas dos componentes do meu curso de especialização? ,"Você poderá ter acesso às ementas dos componentes pelo Portal Público do SIGAA (Link: https://sig.unb.br/sigaa/public/componentes/busca_componentes.jsf). Ao acessar, você deve selecionar o nível ""Lato Sensu-Especialização"" na busca.Caso seu curso de especialização tenha ocorrido antes de 2021, você deve deve solicitar as ementas no e-mail: saaatendimento@unb.br
				document.getElementById('cloak292bd295b2758e8b951397af4dcecb64').innerHTML = '';
				var prefix = '&#109;a' + 'i&#108;' + '&#116;o';
				var path = 'hr' + 'ef' + '=';
				var addy292bd295b2758e8b951397af4dcecb64 = 's&#97;&#97;&#97;t&#101;nd&#105;m&#101;nt&#111;' + '&#64;';
				addy292bd295b2758e8b951397af4dcecb64 = addy292bd295b2758e8b951397af4dcecb64 + '&#117;nb' + '&#46;' + 'br';
				var addy_text292bd295b2758e8b951397af4dcecb64 = 's&#97;&#97;&#97;t&#101;nd&#105;m&#101;nt&#111;' + '&#64;' + '&#117;nb' + '&#46;' + 'br';document.getElementById('cloak292bd295b2758e8b951397af4dcecb64').innerHTML += '<a ' + path + '\'' + prefix + ':' + addy292bd295b2758e8b951397af4dcecb64 + '\'>'+addy_text292bd295b2758e8b951397af4dcecb64+'<\/a>';
		.
"
Lato Sensu,Como posso saber sobre mais funcionalidades do Portal Discente? ,"O manual do discente Lato Sensu está disponível no seguinte Link: http://portalsig.unb.br/images/Manuais/Modulo_Lato_Sensu_-_Manual_Portal_do_Discente1.pdf.
"
Lato Sensu,Quem tem direito ao certificado de conclusão de curso de especialização? ,"Terão direito ao certificado de especialização os estudantes que tiverem obtido frequência de, pelo menos, 75% de carga horária prevista e obtiverem menção igual ou superior a MM em todas as disciplinas, incluindo o trabalho de conclusão de curso (TCC).
"
Lato Sensu,Posso receber meu certificado durante a vigência do curso? ,"Conforme previsto no art. 26 da Resolução CEPE Nº 95/2020, não é permitida a emissão de certificados durante a vigência do curso.
"
